Mods count: 155
 
jar name                                                                        | mod id (isMCreator)                      | mixin configs
netherportalfix-neoforge-1.21.1-21.1.1.jar                                      | netherportalfix                          | netherportalfix.mixins.json, netherportalfix.neoforge.mixins.json
not_enough_glyphs-1.21.1-4.2.3.0.jar                                            | not_enough_glyphs                        | not_enough_glyphs.mixins.json
    /META-INF/jarjar/sauce-1.21.1-0.0.12.39.jar                                 | sauce                                    | sauce.mixins.json
OctoLib-NEOFORGE-0.6.0.4+1.21.jar                                               | octolib                                  | octolib-common.mixins.json
    /META-INF/jars/snakeyaml-2.2.jar                                            |                                          | 
Oh-The-Biomes-Weve-Gone-NeoForge-2.5.0.jar                                      | biomeswevegone                           | biomeswevegone-common.mixins.json
Oh-The-Trees-Youll-Grow-neoforge-1.21.1-5.1.2.jar                               | ohthetreesyoullgrow                      | ohthetreesyoullgrow.mixins.json
pamhc2crops-NEOFORGE-1.21.1-1.0.2.jar                                           | pamhc2crops                              | 
pamhc2foodcore-NEOFORGE-1.21.1-1.0.4.jar                                        | pamhc2foodcore                           | assets/pamhc2foodcore/models/item/mixingbowlitem.json
pamhc2foodextended-NEOFORGE-1.21.1-1.0.0.jar                                    | pamhc2foodextended                       | 
pamhc2trees-NEOFORGE-1.21.1-1.0.4.jar                                           | pamhc2trees                              | 
Patchouli-1.21.1-92-NEOFORGE.jar                                                | patchouli                                | patchouli_xplat.mixins.json
Placebo-1.21.1-9.9.1.jar                                                        | placebo                                  | placebo.mixins.json
player-animation-lib-forge-2.0.1+1.21.1.jar                                     | playeranimator                           | playerAnimator-common.mixins.json
polymorph-neoforge-1.1.0+1.21.1.jar                                             | polymorph                                | polymorph.mixins.json, polymorph-compatibility.mixins.json, polymorph-compatibility.neoforge.mixins.json
Powah-6.2.6.jar                                                                 | powah                                    | 
prickle-neoforge-1.21.1-21.1.11.jar                                             | prickle                                  | prickle.mixins.json, prickle.neoforge.mixins.json
productivemetalworks-1.21.1-1.13.0.jar                                          | productivemetalworks                     | 
    /META-INF/jarjar/flywheel-neoforge-1.21.1-1.0.4-30.jar                      | flywheel                                 | flywheel.impl.mixins.json, flywheel.backend.mixins.json
    /META-INF/jarjar/Ponder-NeoForge-1.21.1-1.0.61.jar                          | ponder                                   | ponder-common.mixins.json, ponder.mixins.json
    /META-INF/jarjar/productivelib-1.21.0-0.1.28.jar                            | productivelib                            | productivelib.mixin.json
rarcompat-1.21-0.9.7.jar                                                        | rarcompat                                | rarcompat.mixins.json
refined-types-1.21.1-0.2.4.jar                                                  | refinedtypes                             | refinedtypes.mixins.json
    /META-INF/jarjar/GrandPower-3.0.2.jar                                       | grandpower                               | 
refinedstorage-curios-integration-1.0.0.jar                                     | refinedstorage_curios_integration        | 
refinedstorage-jei-integration-neoforge-1.0.0.jar                               | refinedstorage_jei_integration           | 
refinedstorage-neoforge-2.0.0.jar                                               | refinedstorage                           | refinedstorage.mixins.json
refinedstorage-quartz-arsenal-neoforge-1.0.6.jar                                | refinedstorage_quartz_arsenal            | 
